中崙高中 112年12月份菜單,,,,,,,,,,,,,
週次,日期,星期,主菜,副菜 1,副菜 2,副菜 3,"全榖根
莖類","豆魚肉
蛋類","蔬菜
類","油脂及
堅果類","鈣
(mg)",熱量(卡),
一,12/1,,蠔油蒸魚片,蒸蛋,蠔油海結,時蔬青菜,5.5,3.3,2,2,402,773,
"二
無自備",12/4,一,和風燒肉片,紅丁炒蛋,醬爆豆腐,時蔬青菜,5.5,3.5,1.8,3,337,828,
,12/5,二,泰式咖哩雞丁,蒸蛋,蒜味乾丁,時蔬青菜,5.5,3.5,1.5,2.2,324,784,
,12/6,三,番茄醬蝦排,蝦皮蒲瓜,麻油米血糕,蘿蔓萵苣,6,2.6,2,2.5,294,778,
,12/7,四,沙茶肉絲燴飯,肉末玉米,蠔油茄子,時蔬青菜,5.7,2.8,2,2.5,235,772,
,12/8,五,紅燒魚,木須炒蛋,起司南瓜,時蔬青菜,6,3,1.8,3,404,825,
"三
無自備",12/11,一,三杯豬柳,大瓜炒蛋,紅k干絲,時蔬青菜,5.5,3,2.2,3,264,800,
,12/12,二,香滷腿排,番茄炒蛋,滷油豆腐,時蔬青菜,5.5,3.5,1.8,3,247,828,
,12/13,三,咔啦雞排,蛋絲白菜,蒜味黑豆干,荷葉白菜,5.5,3,2,2.5,269,773,
,12/14,四,雞塊+鍋貼,和風黃豆芽,三色麵筋,福山萵苣,5.5,2.8,2.2,2.5,316,763,
,12/15,五,醬爆肉片,粉絲炒蛋,芹菜海帶絲,時蔬青菜,6,3,2,3,402,830,
四,12/18,一,微辣打拋豬,雙色炒蛋,麻婆豆腐,時蔬青菜,5.5,3.5,1.8,3,294,828,
,12/19,二,肉片麻油拌飯,火腿炒蛋,絲瓜燴雙菇,時蔬青菜,5.5,3,2,3,242,795,
,12/20,三,淋醬豬排,韭菜銀芽,可樂餅,高麗菜,6,2.5,2,3,301,793,
,12/21,四,奶油雞丁,馬丁炒蛋,滷豆干,時蔬青菜,6,3.5,1.5,3,288,855,
,12/22,五,柴香魚片,椒鹽金菇炒蛋,青蔥木耳炒肉絲,時蔬青菜,5.5,3.5,2,3,236,833,
五,12/25,一,辣炒肉片,玉米炒蛋,沙茶紅K洋蔥粉,絲時蔬青菜,6.2,3,1.5,3.3,244,845,
,12/26,二,蜜汁烤棒腿,紅k炒蛋,滷筍絲,時蔬青菜,5.5,3,2.2,3,247,800,
,12/27,三,香酥雞排,紅燒雙丁,蠔油凍豆腐,黑葉白菜,5.5,3,2,2.5,285,773,
,12/28,四,肉絲炒麵,海芽蒸蛋,滷嫩豆腐,時蔬青菜,5.5,3.5,1.5,2.5,303,798,
,12/29,五,椒鹽柳葉魚,八角鴨血,白菜滷,時蔬青菜,5.5,3,2,2.6,256,777,
